Study	Method	Genus	Species	Calibration material	Wood porosity	Diameter	k	SFD	Granier
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.223643	11.326284	6.778787937
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.227755	11.326284	6.932541398
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.230219	12.110112	7.024982294
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.233504	13.442616	7.148579901
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.230211	14.265612	7.02468179
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.235143	15.04944	7.210397733
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.234312	17.361756	7.179042591
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0970133	7.211196	2.424592543
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0863191	8.151804	2.09989249
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0978311	8.465328	2.449777103
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.109343	8.857224	2.809319703
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.112633	8.778852	2.913733851
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.126612	8.9748	3.365084902
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.136479	9.4059	3.690757415
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.135656	9.641052	3.66337924
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.14799	10.111356	4.077608349
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.158679	10.385676	4.443128883
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.174301	11.365488	4.987576993
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.193211	12.697992	5.661801868
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.198233	13.673412	5.843500169
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.221989	13.991292	6.717125817
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.224453	14.814324	6.809023725
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.220337	15.833268	6.655644104
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.223624	16.6563	6.778079006
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.282016	15.598116	9.018544374
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.295174	15.63732	9.539280164
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.297639	16.185996	9.637439199
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.205527	17.910432	6.109294448
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.207171	18.223956	6.169506339
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.244995	19.595628	7.584064212
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.284464	20.693016	9.115008625
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.331335	21.986316	10.99761535
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.335448	21.516012	11.1659092
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0493297	3.4096428	1.05454713
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0567315	3.2920668	1.252584792
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0616664	3.0961116	1.388031376
Chan 2015	TD	Abies	Abies concolor	stem segment	Coniferous	6	0.0624898	2.8217736	1.410881396
